date_time,content,error_msg,yyyymm
48:21.4,<CrewInfo><Event>CREWLOG</Event><Version>1</Version><DataTime><SourceTimeStamp>2020-02-24T22:48:20.132</SourceTimeStamp></DataTime><AirlineCode><IATA>MQ</IATA><ICAO>ENY</ICAO></AirlineCode><CrewID><EmpNum>      </EmpNum><LastName> </LastName><FirstName>AYOKUNNU</FirstName><MidInitial> </MidInitial><CrewType>P</CrewType><PopulationType>0</PopulationType></CrewID><EventLog><AgentID>000000</AgentID><HistoryTimeStamp>24FEB201648</HistoryTimeStamp><LNIATA>000000</LNIATA><XMLHistoryRef>0004</XMLHistoryRef><HistoryType>2</HistoryType><HistoryText><![CDATA[ DOCMENTATION ADD    REPORTED ON MCL SEQ 09 DCAUCCR]]></HistoryText></EventLog></CrewInfo>,java.lang.Exception: Encountered an java.lang.Exception: Invalid crew member employee #:       . Should be 6 digits and all numeric with leading zeros. while trying to parse a crew message. Verify xml schema and/or data format has not changed.,202002
18:37.7,<Flight><LF>        <Event></Event><LF>        <Version></Version><LF>        <FosPartition></FosPartition><LF>        <EventLog><LF>            <MsgSequence>0</MsgSequence><LF>            <InputDevice>000000</InputDevice><LF>            <EmployeeNbr>052663</EmployeeNbr><LF>            <PersonalID>0</PersonalID><LF>            <ActionCode>CCIEFP</ActionCode><LF>            <Text><![CDATA[FLT NOT FOUND<LF><LF>]]></Text><LF>        </EventLog><LF>    </Flight>,java.lang.Exception: Encountered an java.lang.Exception: Invalid flight event type: . Should be 1 - 12 chars in length. while trying to parse a flight message. Verify xml schema and/or data format has not changed.,201708
40:15.9,<Flight>,NULL,202003
18:36.2,<Flight>,NULL,202003
25:23.5,<Flight>,NULL,202003
