action_code,employee_nbr,input_device,msg_sequence,personalid,text,event_type,dep_sta,dup_dep_sta_num,flt_num,flt_org_date,iata,icao,arr,dup_arr_sta_num,sta,std,date_time,assignedtail,fos_partition,ltd,lta,assigned_equip_type,ac_reg_num,leg_status,dep_status,arr_status,yyyymm
GG,720483,CA9710,17,HDQ-AAW,GG 3206/17 ORD D  GG7,FLIGHTLOG,ORD,0,3206,1/17/2015 0:00,MQ,ENY,GRR,0,1/17/2015 16:10,1/17/2015 15:25,29:57.4,514,MQ,1/17/2015 15:25,1/17/2015 16:10,CR7R,N514AE, ,S,S,201501
GI3206,0,0,16,-,GI3206PLANR*ORD17JAN,FLIGHTLOG,ORD,0,3206,1/17/2015 0:00,MQ,ENY,GRR,0,1/17/2015 16:10,1/17/2015 15:25,28:18.1,514,MQ,1/17/2015 15:25,1/17/2015 16:10,CR7R,N514AE, ,S,S,201501
RN3201,728538,13B23D,45,HDQ-AQG,RN3201 18JAN 2005 ORD  514,FLIGHTLOG,ORD,0,3201,1/18/2015 0:00,MQ,ENY,BNA,0,1/19/2015 3:30,1/19/2015 2:05,19:30.4,514,MQ,1/19/2015 2:05,1/19/2015 3:30,CR7R,N514AE, ,S,S,201501
AN3201,728538,13B23D,44,HDQ-AQG,AN3201 18JAN 0000 ORD  514,FLIGHTLOG,ORD,0,3201,1/18/2015 0:00,MQ,ENY,BNA,0,1/19/2015 3:30,1/19/2015 2:05,19:30.2,514,MQ,1/19/2015 2:05,1/19/2015 3:30,CR7R,N514AE, ,S,S,201501
RN2968,728538,13B23D,28,HDQ-AQG,RN2968 18JAN 1600 STL  514,FLIGHTLOG,STL,0,2968,1/18/2015 0:00,MQ,ENY,ORD,0,1/18/2015 23:35,1/18/2015 22:00,19:30.2,514,MQ,1/18/2015 22:00,1/18/2015 23:35,CR7R,N514AE, ,S,S,201501
