action_code,employee_nbr,input_device,msg_sequence,personalid,event_type,dep_sta,iata,icao,arr,date_time,fos_partition,text,time_ingested,msg_delay_time,yyyymm
RJ,0,F30000,26901,NO-AAA,FLIGHTLOG,SOC,AA,AAL,GSW,53:51.2,AA,RJ<LF>PR<LF>RAI 024 N951NN 0393 MEX  28APR<LF>KDFWA81CC<LF>UNKNOWN SMI/IMI                         <LF>QU TULDDAA<LF>.DDLXCXA 282153<LF>RAI<LF>FI AA393/AN N951NN<LF>DT DDL DFWV 282153 L17A<LF>-  TI2/024KDFWA81CC,NULL,NULL,201504
RJ,0,F30000,26900,NO-AAA,FLIGHTLOG,SOC,AA,AAL,GSW,53:48.3,AA,RJ<LF>PR<LF>RAI 024 N821NN 1073 MIA  28APR<LF>KPHLA9412<LF>UNKNOWN SMI/IMI                         <LF>QU TULDDAA<LF>.DDLXCXA 282153<LF>RAI<LF>FI AA1073/AN N821NN<LF>DT DDL VQQV 282153 L03A<LF>-  TI2/024KPHLA9412,NULL,NULL,201504
RJ,0,F30000,4184,NO-AAA,FLIGHTLOG,SOC,MQ,ENY,GSW,53:49.6,MQ,RJ<LF>PR<LF>RAI 024 N695AE 3090 ORD  28APR<LF>ORD D9BFF<LF>UNKNOWN SMI/IMI                         <LF>QU TULDDMQ<LF>.DDLXCXA 282153<LF>RAI<LF>FI MQ3090/AN N695AE<LF>DT DDL ORD 282153 M74A<LF>-  TI2/024ORD D9BFF,NULL,NULL,201504
RJ,0,F30000,26899,NO-AAA,FLIGHTLOG,SOC,AA,AAL,GSW,53:43.9,AA,RJ<LF>PR<LF>RAI 024 N946AN 1029 LGA  28APR<LF>KLGADCA4F<LF>UNKNOWN SMI/IMI                         <LF>QU TULDDAA<LF>.DDLXCXA 282153<LF>RAI<LF>FI AA1029/AN N946AN<LF>DT DDL LGA 282153 L21A<LF>-  TI2/024KLGADCA4F,NULL,NULL,201504
RJ,0,F30000,26896,NO-AAA,FLIGHTLOG,SOC,AA,AAL,GSW,53:30.9,AA,RJ<LF>PR<LF>RAI 024 N847NN 1597 MEX  28APR<LF>KORDA5650<LF>UNKNOWN SMI/IMI                         <LF>QU TULDDAA<LF>.DDLXCXA 282153<LF>RAI<LF>FI AA1597/AN N847NN<LF>DT DDL TXKV 282153 L28A<LF>-  TI2/024KORDA5650,NULL,NULL,201504
